order_id,date,region,country,product_category,product_name,units_sold,unit_price,discount_pct,revenue,sales_rep,customer_segment
ORD-00460,2024-10-02,Asia pacific,australia,Electronics,Wireless Headphones,4,283.28,0.4189,658.46,Alice Johnson,Enterprise
ORD-00458,2023-08-30,middle east,turkey,Hardware,Network Switch,5,165.73,0.438,465.7,Grace Kim,Startup
ORD-01023,2024-01-19,europe,italy,Electronics,Laptop Pro 15,11,352.27,0.0328,3747.87,Jack Wilson,Enterprise
ORD-00142,2023-05-08,Asia pacific,australia,Electronics,Webcam HD,34,$1668.07,0.3807,35123.22,Eva Martinez,Enterprise
ORD-00669,2023-12-02,europe,UK,Services,Integration Service,1,409.18,0.2669,299.97,Eva Martinez,SMB
ORD-01012,2023-05-04,middle east,UAE,Services,Audit Report,14,$352.97,0.2717,3598.95,Iris Chen,Enterprise
ORD-00152,2023-11-14,Asia pacific,Japan,Services,Consulting Package,16,140.97,0.0189,2212.89,Iris Chen,Government
ORD-00831,2024-12-16,europe,italy,Accessories,Keyboard Mechanical,4,2620.49,0.0014,10467.29,Grace Kim,SMB
ORD-00751,2024-08-02,LATIN AMERICA,colombia,Electronics,4K Monitor,5,1487.08,0.2969,5227.83,Jack Wilson,Education
ORD-00047,2023-10-06,LATIN AMERICA,CHILE,Accessories,Cable Kit,8,$831.04,0.1286,5793.35,Frank Brown,Startup
ORD-01133,2024-12-16,LATIN AMERICA,Argentina,Accessories,Desk Mat XL,2105,1040.68,0.3091,,David Lee,Government
ORD-00129,2024-03-28,ASIA PACIFIC,South Korea,Accessories,Desk Mat XL,13,1885.37,0.0307,23757.36,Eva Martinez,Startup
ORD-00035,2023-08-22,north america,UNITED STATES,Software,Analytics Dashboard,23,1386.3,0.3579,20473.29,David Lee,Enterprise
ORD-00281,2023-06-03,LATIN AMERICA,brazil,Electronics,Laptop Pro 15,13,$46.73,,507.98,Carol White,Enterprise
ORD-00595,2023-10-04,North America,UNITED STATES,Electronics,Laptop Pro 15,27,2075.33,0.1335,,Jack Wilson,Education
ORD-00722,2024-01-22,LATIN AMERICA,CHILE,Hardware,SSD 2TB,3,2447.08,0.063,6878.74,Iris Chen,SMB
ORD-01129,2023-08-28,middle east,ISRAEL,Accessories,Desk Mat XL,11,$1209.44,0.418,7742.83,Iris Chen,Enterprise
ORD-00400,2024-11-09,LATIN AMERICA,brazil,Hardware,Network Switch,32,1536.12,,38046.62,David Lee,Education
ORD-00695,2023-09-29,north america,United States,Services,Training Bundle,19,2175.03,,32957.14,Frank Brown,SMB
ORD-00110,2024-12-30,middle east,turkey,Electronics,Laptop Pro 15,11,2543.41,0.0486,26617.8,Henry Davis,Enterprise
ORD-00670,2023-01-22,EUROPE,italy,Hardware,Network Switch,29,1138.18,,24534.27,Alice Johnson,Education
ORD-00888,2023-05-14,Asia pacific,australia,Services,Training Bundle,9,343.46,,2141.23,Frank Brown,Startup
